"Indicator type","Indicator","Description"
"URL","http://vysodagiva0.xhost.ro/cibc-online-banking/",""
"URL","ftp://188.128.111.33/IPTV/TV1324/view.html",""
"URL","http://115.28.157.120/Public/upload/file/20170419/20170419201906_65210.html",""
"URL","http://woodfloorcreations.com/includes/js/tabs/kon/zooyodanapono.html",""
"URL","http://115.28.157.120/Public/upload/file/20170419/20170419195927_71830.html",""
"URL","http://115.28.157.120/Public/upload/file/20170420/20170420015241_59000.html",""
"URL","http://hghsuppliers.com/blog/img/apps/homey/redirection.php",""
"URL","http://marcaldeataide.com.br/website/model/Sichern/Sie/Ihre/Online-Banking-Konto/sparkasse.de",""
"URL","http://citymarket.imperiavkusov.ru/Easyweb%20TD%20Bank%20Trust%20Canada%20Online%20Banking/index.php",""
"URL","http://www.semazen.net/live/index.php",""
"URL","http://vindetect.cz/patrani/css/bankofamerica/bankofamerica/webscr%3Dlogineqdqsd654654/signon.php",""
"URL","http://merlyna.tecnologia7.com/bankofamerica.com/d4b5a0189835c50d69cfb2ed76e0f3ee/",""
"URL","http://merlyna.tecnologia7.com/bankofamerica.com/b00822f64be4742e2589ce439b203cfd",""
"URL","http://merlyna.tecnologia7.com/bankofamerica.com/9baa887465da526de2cecac14e03783e/",""
"URL","http://centino.pl/images/Barclays-bank.co.uk-Mandatory-Internet-Update/barclays.htm",""
"URL","http://allstarprintz.com/www/online-lloyds-4T6aJTIxmRURbXZ-banking-4T6aJTIxmRURbXZ/home.php?user-session-login=4T6aJTIxmRURbXZ",""
"URL","http://allstarprintz.com/www/online-lloyds-eOFXuGNGzOryEPO-banking-eOFXuGNGzOryEPO/home.php?user-session-login=eOFXuGNGzOryEPO",""
"URL","http://allstarprintz.com/www/online-lloyds-rQTFJ5me4857Had-banking-rQTFJ5me4857Had/",""
"URL","http://banking.onlinesecurityauthority.com/26734drg/",""
"URL","http://iam1.hunsa.com/users/l/lv/lvlooyok/unionbankph.com.html",""
"URL","http://kloudteck.com/wp-includes/css/onlinebanking/cgi-bin/netbnx/NBmain/index.html",""
"URL","http://www.olejnik.net.pl/tmp/caixa-internet-banking/zn/index.php",""
"URL","http://suphitoprak.com.tr/wp-includes/coldwellbanker/coldwellbanker/realestate.htm",""
"URL","https://drive.google.com/st/auth/host/0B9lR_Dz1Q0nPcjMtNWN0MXBVUHc/business-banking.htm",""
