,IP,Reliability,Risk,Type,Country,Locale,Coords
0,222.76.212.189,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
1,222.76.212.185,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
2,222.76.212.186,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
3,5.34.246.67,6,3,Spamming,us,,"38.0,-97.0"
4,178.94.97.176,4,5,Scanning Host,ua,Merefa,"49.8230018616,36.0507011414"
5,66.2.49.232,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
6,222.76.212.173,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
7,222.76.212.172,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
8,222.76.212.171,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
9,174.142.46.19,6,3,Spamming,nan,,"24.4797992706,118.08190155"
10,66.2.49.244,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
11,62.75.130.16,4,2,Scanning Host,de,,"51.0,9.0"
12,62.75.130.17,4,2,Scanning Host,de,,"51.0,9.0"
13,62.75.130.18,4,2,Scanning Host,de,,"51.0,9.0"
14,62.75.130.19,4,2,Scanning Host,de,,"51.0,9.0"
15,112.216.121.87,4,3,Scanning Host,kr,,"37.0,127.5"
16,112.216.121.78,4,3,Scanning Host,kr,,"37.0,127.5"
17,112.216.121.77,4,3,Scanning Host,kr,,"37.0,127.5"
18,112.216.121.75,4,3,Scanning Host,kr,,"37.0,127.5"
19,112.216.121.74,4,3,Scanning Host,kr,,"37.0,127.5"
20,222.45.58.249,4,2,Scanning Host,cn,Nanjing,"32.0616989136,118.777801514"
21,222.45.58.244,4,2,Scanning Host,cn,Nanjing,"32.0616989136,118.777801514"
22,120.31.136.119,4,2,Scanning Host,cn,Foshan,"23.0268001556,113.131500244"
23,201.57.0.248,4,2,Scanning Host,br,,"-10.0,-55.0"
24,218.65.30.37,4,4,Scanning Host,cn,Nanchang,"28.5499992371,115.933296204"
25,218.65.30.38,4,3,Scanning Host,cn,Nanchang,"28.5499992371,115.933296204"
26,178.94.97.59,4,5,Scanning Host,ua,Merefa,"49.8230018616,36.0507011414"
27,84.241.180.134,6,3,Malware IP,nl,,"52.5,5.75"
28,62.75.130.12,4,2,Scanning Host,de,,"51.0,9.0"
29,62.75.130.13,4,2,Scanning Host,de,,"51.0,9.0"
30,62.75.130.14,4,2,Scanning Host,de,,"51.0,9.0"
31,62.75.130.15,4,2,Scanning Host,de,,"51.0,9.0"
32,24.218.26.112,4,4,Scanning Host,us,Boston,"42.3583984375,-71.0597991943"
33,184.154.37.226,6,2,Spamming,us,Chicago,"41.8824996948,-87.6440963745"
34,222.76.212.200,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
35,192.157.254.179,6,2,Spamming,us,Henderson,"36.0312004089,-115.073898315"
36,222.76.212.197,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
37,222.76.212.196,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
38,222.76.212.202,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
39,222.76.212.201,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
40,222.174.88.253,4,2,Scanning Host,cn,Jinan,"36.6683006287,116.997200012"
41,177.124.220.90,6,4,Malware IP,br,,"-10.0,-55.0"
42,178.94.97.191,4,5,Scanning Host,ua,Merefa,"49.8230018616,36.0507011414"
43,178.94.97.66,4,5,Scanning Host,ua,Merefa,"49.8230018616,36.0507011414"
44,178.94.97.179,4,5,Scanning Host,ua,Merefa,"49.8230018616,36.0507011414"
45,198.50.194.49,6,3,Spamming,ca,,"60.0,-95.0"
46,108.61.71.18,6,3,Malware IP,us,Matawan,"40.4169006348,-74.2578964233"
47,177.15.73.82,4,2,Scanning Host,nan,,"40.4169006348,-74.2578964233"
48,66.2.49.196,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
49,66.2.49.195,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
50,66.2.49.194,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
51,66.2.49.243,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
52,66.2.49.230,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
53,118.123.11.243,4,3,Scanning Host,cn,Chengdu,"30.6667003632,104.066703796"
54,118.123.11.244,4,3,Scanning Host,cn,Chengdu,"30.6667003632,104.066703796"
55,118.123.11.245,4,3,Scanning Host,cn,Chengdu,"30.6667003632,104.066703796"
56,118.123.11.246,4,3,Scanning Host,cn,Chengdu,"30.6667003632,104.066703796"
57,118.123.11.247,4,3,Scanning Host,cn,Chengdu,"30.6667003632,104.066703796"
58,118.123.11.248,4,3,Scanning Host,cn,Chengdu,"30.6667003632,104.066703796"
59,118.123.11.249,4,3,Scanning Host,cn,Chengdu,"30.6667003632,104.066703796"
60,118.123.11.251,4,3,Scanning Host,cn,Chengdu,"30.6667003632,104.066703796"
61,118.123.11.252,4,3,Scanning Host,cn,Chengdu,"30.6667003632,104.066703796"
62,62.75.130.11,4,2,Scanning Host,de,,"51.0,9.0"
63,24.218.26.117,4,4,Scanning Host,us,Boston,"42.3583984375,-71.0597991943"
64,24.218.26.110,4,4,Scanning Host,us,Boston,"42.3583984375,-71.0597991943"
65,81.171.34.31,6,3,Malware IP,nl,,"52.5,5.75"
66,213.248.112.161,6,2,Malware IP,nl,,"52.5,5.75"
67,218.95.217.135,4,2,Scanning Host,cn,,"35.0,105.0"
68,93.174.93.9,4,3,Scanning Host,nl,,"52.5,5.75"
69,93.174.93.8,4,3,Scanning Host,nl,,"52.5,5.75"
70,93.174.93.22,4,3,Scanning Host,nl,,"52.5,5.75"
71,222.76.212.12,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
72,222.76.212.9,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
73,222.76.212.27,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
74,222.76.212.20,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
75,193.110.77.196,4,2,Scanning Host,ua,Kiev,"50.4333000183,30.5167007446"
76,193.110.77.211,4,2,Scanning Host,ua,Kiev,"50.4333000183,30.5167007446"
77,193.110.77.209,4,3,Scanning Host,ua,Kiev,"50.4333000183,30.5167007446"
78,193.110.77.207,4,2,Scanning Host,ua,Kiev,"50.4333000183,30.5167007446"
79,193.110.77.208,4,2,Scanning Host,ua,Kiev,"50.4333000183,30.5167007446"
80,222.76.212.25,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
81,193.110.77.205,4,2,Scanning Host,ua,Kiev,"50.4333000183,30.5167007446"
82,193.110.77.204,4,2,Scanning Host,ua,Kiev,"50.4333000183,30.5167007446"
83,193.110.77.203,4,3,Scanning Host,ua,Kiev,"50.4333000183,30.5167007446"
84,193.110.77.202,4,2,Scanning Host,ua,Kiev,"50.4333000183,30.5167007446"
85,193.110.77.144,4,2,Scanning Host,ua,Kiev,"50.4333000183,30.5167007446"
86,110.7.139.188,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
87,110.7.139.192,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
88,110.7.139.191,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
89,175.103.59.4,4,2,Scanning Host,id,,"-5.0,120.0"
90,110.7.139.126,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
91,110.7.139.123,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
92,110.7.139.114,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
93,110.7.139.115,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
94,110.7.139.178,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
95,110.7.139.128,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
96,110.7.139.122,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
97,110.7.139.120,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
98,110.7.139.117,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
99,110.7.139.131,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
100,110.7.139.170,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
101,110.7.139.45,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
102,110.7.139.108,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
103,110.7.139.26,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
104,110.7.139.43,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
105,110.7.139.42,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
106,110.7.139.41,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
107,110.7.139.106,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
