#############################################################
## Master Feed of known, active and non-sinkholed C&Cs indicators
## 
## HIGH CONFIDENCE FAMILIES ONLY
## 
## Feed generated at: 2023-03-03 14:21 
##
## Feed Provided By: John Bambenek of Bambenek Consulting
## jcb@bambenekconsulting.com // http://bambenekconsulting.com
## Use of this feed is governed by the license here: 
## http://osint.bambenekconsulting.com/license.txt 
##
## For more information on this feed go to: 
## http://osint.bambenekconsulting.com/manual/c2-allmasterlist.txt
## 
## All times are in UTC
## 
## Fields are: 
## Domain,IPs,CIDR,IPv6,ASN,Auth NS servers,Auth NS IPs, Description, Manual
## Multiple entries in a field (i.e. multiple IPs) are | delimited 
#############################################################
ns1.backdates0.org,77.247.183.148,77.247.176.0/21,,43350,ns1.squirreldns.com|ns2.squirreldns.com,77.247.183.145|208.115.240.178,Master Indicator Feed for beebone non-sinkholed domains,http://osint.bambenekconsulting.com/manual/beebone.txt
ns1.backdates10.com,63.141.242.43,63.141.224.0/19,,33387,ns1.namedynamics.net|ns2.namedynamics.net,63.141.242.42|179.43.134.6|179.43.173.30|192.187.111.218,Master Indicator Feed for beebone non-sinkholed domains,http://osint.bambenekconsulting.com/manual/beebone.txt
ns1.backdates12.com,63.141.242.46,63.141.224.0/19,,33387,ns1.namedynamics.net|ns2.namedynamics.net,63.141.242.42|179.43.134.6|179.43.173.30|192.187.111.218,Master Indicator Feed for beebone non-sinkholed domains,http://osint.bambenekconsulting.com/manual/beebone.txt
ns1.backdates14.com,63.141.242.43,63.141.224.0/19,,33387,ns1.namedynamics.net|ns2.namedynamics.net,63.141.242.42|179.43.134.6|179.43.173.30|192.187.111.218,Master Indicator Feed for beebone non-sinkholed domains,http://osint.bambenekconsulting.com/manual/beebone.txt
ns1.backdates18.com,77.247.183.146,77.247.176.0/21,,43350,ns1.squirreldns.com|ns2.squirreldns.com,77.247.183.145|208.115.240.178,Master Indicator Feed for beebone non-sinkholed domains,http://osint.bambenekconsulting.com/manual/beebone.txt
ns1.backdates20.com,63.141.242.46,63.141.224.0/19,,33387,ns1.namedynamics.net|ns2.namedynamics.net,63.141.242.42|179.43.134.6|179.43.173.30|192.187.111.218,Master Indicator Feed for beebone non-sinkholed domains,http://osint.bambenekconsulting.com/manual/beebone.txt
ns1.backdates2.org,81.17.18.195,81.17.16.0/20,,51852,ns1.namedynamics.net|ns2.namedynamics.net,63.141.242.42|179.43.134.6|179.43.173.30|192.187.111.218,Master Indicator Feed for beebone non-sinkholed domains,http://osint.bambenekconsulting.com/manual/beebone.txt
ns1.backdates3.org,81.17.18.197,81.17.16.0/20,,51852,ns1.namedynamics.net|ns2.namedynamics.net,63.141.242.42|179.43.134.6|179.43.173.30|192.187.111.218,Master Indicator Feed for beebone non-sinkholed domains,http://osint.bambenekconsulting.com/manual/beebone.txt
ns1.backdates4.org,63.141.242.44,63.141.224.0/19,,33387,ns1.namedynamics.net|ns2.namedynamics.net,63.141.242.42|179.43.134.6|179.43.173.30|192.187.111.218,Master Indicator Feed for beebone non-sinkholed domains,http://osint.bambenekconsulting.com/manual/beebone.txt
ns1.backdates5.org,63.141.242.46,63.141.224.0/19,,33387,ns1.namedynamics.net|ns2.namedynamics.net,63.141.242.42|179.43.134.6|179.43.173.30|192.187.111.218,Master Indicator Feed for beebone non-sinkholed domains,http://osint.bambenekconsulting.com/manual/beebone.txt
ns1.backdates6.org,77.247.183.148,77.247.176.0/21,,43350,ns1.squirreldns.com|ns2.squirreldns.com,77.247.183.145|208.115.240.178,Master Indicator Feed for beebone non-sinkholed domains,http://osint.bambenekconsulting.com/manual/beebone.txt
ns1.backdates7.org,63.141.242.43,63.141.224.0/19,,33387,ns1.namedynamics.net|ns2.namedynamics.net,63.141.242.42|179.43.134.6|179.43.173.30|192.187.111.218,Master Indicator Feed for beebone non-sinkholed domains,http://osint.bambenekconsulting.com/manual/beebone.txt
ns1.backdates8.org,81.17.18.196,81.17.16.0/20,,51852,ns1.namedynamics.net|ns2.namedynamics.net,63.141.242.42|179.43.134.6|179.43.173.30|192.187.111.218,Master Indicator Feed for beebone non-sinkholed domains,http://osint.bambenekconsulting.com/manual/beebone.txt
ns1.backdates9.org,81.17.18.198,81.17.16.0/20,,51852,ns1.namedynamics.net|ns2.namedynamics.net,63.141.242.42|179.43.134.6|179.43.173.30|192.187.111.218,Master Indicator Feed for beebone non-sinkholed domains,http://osint.bambenekconsulting.com/manual/beebone.txt
abvrnnyf.com,64.225.91.73,64.225.88.0/22,,14061,ns03.domaincntrol.com|ns04.domaincntrol.com,143.244.210.78|164.90.244.237,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
